"","sp","taxo","group_kernels","group_detection","group_atlas"
"1","Black-bellied Whistling-Duck",215,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"2","Black-bellied Whistling-Duck",215.3,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"3","Fulvous Whistling-Duck",217,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"4","whistling-duck sp.",223,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"5","Swan Goose",227,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"6","Swan Goose (Domestic type)",227.3,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"7","Taiga Bean-Goose",228,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"8","Tundra Bean-Goose",232,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"9","Taiga/Tundra Bean-Goose",235,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"10","Pink-footed Goose",236,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"11","Greater White-fronted Goose",237,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"12","Greater White-fronted Goose",238,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"13","Greater White-fronted Goose",239,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"14","Greater White-fronted Goose",240,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"15","Greater White-fronted Goose",243,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"16","Graylag Goose",248,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"17","Graylag Goose",249,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"18","Graylag Goose (Domestic type)",251,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"19","Swan x Graylag Goose (Domestic type) (hybrid)",251.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"20","Bar-headed Goose",252,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"21","Domestic goose sp. (Domestic type)",252.7,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"22","Anser sp.",252.9,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"23","Emperor Goose",253,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"24","Snow Goose",254,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"25","Greater White-fronted x Snow Goose (hybrid)",256.5,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
