"id";"fr";"en"
"add.subset.label";"Nom de la sélection";"Subset name"
"add.subset.title";"Ajouter une sélection";"Add a subset"
"birds.density.legend";"Oiseaux/km2";"Birds/km2"
"button.cancel";"Annuler";"Cancel"
"button.exit";"Quitter";"Exit"
"col.count";"Nombre d'observations";"Observation count"
"col.species.english";"Nom de l'espèce en anglais";"Species english name"
"col.species.french";"Nom de l'espèce en français";"Species french name"
"compare.choices.subset1";"Calculer la différence entre:";"Compute the difference between:"
"compare.choices.subset2";"et:";"and:"
"compare.subsets";"Comparer les sélections";"Compare subsets"
"create.report";"Créer un rapport";"Create a report"
"create.subset";"Créer la sélection";"Create subset"
"cruises.value";"%id% (du %start% au %end%)";"%id% (from %start% to %end%)"
"data.action";"Choisissez l'action désirée:";"Choose what to do:"
"data.compare";"Comparer les données";"Compare data"
"data.density.map";"Carte de densité";"Density map"
"data.show.table";"Tableau de données";"Data table"
"data.subset";"Sélectionner les données";"Subset data"
"data.view";"Voir les données";"View data"
"data.view.birds";"Observation d'oiseaux";"Bird observations"
"data.view.label";"Choisissez le type de données à visualiser";"Select the type of data to view"
"data.view.raw";"Données brutes";"Raw data"
"data.view.total";"Total par séance d'observation";"Total by watch"
"date.restrict";"Affiner la sélection";"Restrict the selection"
"display.map";"Afficher la carte";"Display the map"
"displaying.density.map";"Affichage de la carte de densité en cours";"Displaying density map"
"download.compare.report";"Télécharger le rapport";"Download report"
"filter.choices.subset";"Choisissez une sélection";"Choose a subset"
"filter.date.months";"Mois";"Months"
"filter.date.range";"Période";"Date range"
"filter.date.years";"Années";"Years"
"filter.observer.cruises";"Croisières";"Cruises"
"filter.observer.observer";"Observateur";"Observer"
"filter.region.region";"Région";"Region"
"filter.species.species";"Espèces";"Species"
"grid.size";"Taille des cellules de grille:";"Mesh size:"
"help.content.observer";"Permet de filtrer les données par observateur ou par identifiant de croisière. Des sélections multiples sont possibles. Le choix de croisières est mis à jour automatiquement selon les observateurs sélectionnées.";"Filter data by observer or cruise identifier. Multiple selections are possible. The cruise choices are automatically updated depending on the selected observers."
"help.title.observer";"Filtrer par observateur ou par croisière";"Filter by observer or cruise"
"lang.en";"English";"English"
"lang.fr";"Français";"Français"
"month.1";"Janvier";"January"
"month.10";"Octobre";"October"
"month.11";"Novembre";"November"
"month.12";"Décembre";"December"
"month.2";"Février";"February"
"month.3";"Mars";"March"
"month.4";"Avril";"April"
"month.5";"Mai";"May"
"month.6";"Juin";"June"
"month.7";"Juillet";"July"
"month.8";"Août";"August"
"month.9";"Septembre";"September"
"need.more.subsets";"Au moins deux sélections sont requises";"At least two subsets are needed"
"optional.field.warning";"Les autres champs sont utilisés pour pouvoir filtrer les données";"Other fields are used to filter the data"
"range.value";"du %start% au %end%";"from %start% to %end%"
"region.value";"Entre longitude (%long1%, %long2%) et latitude (%lat1%, %lat2%)";"Between longitude (%long1%, %long2%) and latitude (%lat1%, %lat2%)"
"report.ask.dest";"Choisir où sauvegarder le fichier";"Choose where to save the file"
"report.author.name";"Nom de l'auteur";"Author name"
"report.author.name.placeholder";"Author";"Author"
"report.download.all";"Tout télécharger";"Download all reports"
"report.download.manually";"Téléchargez les fichiers individuellement";"Download reports individually"
"report.download.select";"Télécharger la sélection";"Download selection"
"report.file.name";"Nom du fichier";"File name"
"report.file.name.placeholder";"report_SUBSETID.docx";"report_SUBSETID.docx"
"report.generate";"Générer le rapport";"Generate report"
"report.save.dest";"Emplacement de la sauvegarde";"Save destination"
"report.select.download";"Sélectionnez les rapports à télécharger";"Select reports to download"
"report.selected.filters";"Filtres sélectionnés pour le sous-ensemble";"Selected filters for subset"
"report.type.compare";"Comparer plusieurs sélections";"Compare multiple selections"
"report.type.create";"Créer un(des) nouveau(x) rapport(s)";"Create (a) new report(s)"
"report.type.label";"Choisissez un type de rapport";"Choose a report type"
"required.field.warning";"Les champs en rouges sont requis";"Fields in red are required"
"reset.data.subset";"Réinitialiser la sélection";"Reset the selection"
"select.all";"Tout sélectionner";"Select all"
"select.cruises";"Choisissez une ou plusieurs croisière(s)";"Select one or more cruise(s)"
"select.data";"Changer les sélections";"Change selections"
"select.date.by";"Choisissez une date par:";"Select a date by:"
"select.date.months";"Choisissez les mois voulus";"Select the desired months"
"select.date.range";"Période";"Range"
"select.date.years";"Années";"Years"
"select.observers";"Choisissez un observateur";"Select an observer"
"select.species";"Choisissez les espèces";"Select species"
"show.density.map";"Afficher la carte de densité";"Display density map"
"species.en";"English";"English"
"species.fr";"French";"French"
"species.use.common.name";"Utiliser le nom commun";"Use common name"
"subset.cancel";"Annuler";"Cancel"
"subset.create";"Créer une nouvelle sélection";"Create a new subset"
"subset.info";"Filtres sélectionnés";"Selected filter"
"text.or";"ou";"or"
"title.date";"Date";"Date"
"title.observer";"Observateurs";"Observers"
"title.region";"Sélectionnez une zone";"Select a zone"
"title.species";"Espèces";"Species"
"transects.legend";"Emplacement des périodes d'observation de 5 min";"Locations of 5-min observation periods"
"use.subset.filter";"Utiliser les filtres d'une sélection existante";"Use filters from an existing subset"
"view.data";"Voir les données";"View data"
"view.data.dataset";"Visualisation des données";"Data vizualisation"
"view.select.action";"Actions possibles";"Possible actions"
"visited.cells.legend";"Cellules visitées
uniquement dans:";"Cells visited only in:"
"wait.message";"Ceci peut prendre un certain temps, merci d'être patient";"This can take a while, please be patient"
"warning.grid.size";"Attention! Une taille de grille trop petite peut entraîner un long temps de calcul et nuire au visuel de la carte.";"Warning! A mesh size too small can lead to long computation times and harm the look of the map."
